urRe urIm urAbs uzRe uzIm uzAbs
0,0290211982628621 0,0151322868725467 0,0327294371263149 -0,00979754576878885 -0,00560859545522073 0,0112892978555725
0,028307563256447 0,0143244311056516 0,0317255017930104 -0,00937901433390512 -0,00530988564258803 0,0107777917688625
0,0278859397009598 0,0136963491045104 0,0310679193348731 -0,00898770424619907 -0,00503597854308008 0,0103024224094874
0,0277829712845966 0,0132627769738009 0,0307862752936678 -0,00862674781917307 -0,00478828006795028 0,00986652947822775
0,0280093153796403 0,01302640268044 0,0308902721714965 -0,00829665570455201 -0,00456632074329728 0,0094702577056035
0,0285568020449239 0,0129797824215663 0,0313682274721441 -0,00799677885881744 -0,00436873169703119 0,00911231522487422
0,0293959037544448 0,0131044324516145 0,0321845507568385 -0,00772603917531293 -0,00419371308358654 0,00879084243778234
0,0304741749549342 0,0133706931401273 0,0332783829870291 -0,00748321946421962 -0,00403942543624501 0,00850385391482348
0,0317199143228319 0,0137405981059061 0,0345681500944992 -0,00726760042458368 -0,00390439554556383 0,00824998912166723
0,0330453745089192 0,0141708810327524 0,0359556761260187 -0,00707923176877776 -0,00378778947264536 0,00802887735148291
0,0343537597620813 0,0146162435885994 0,0373338370172699 -0,0069188627335269 -0,00368937199797535 0,00784105396390255
0,0355446162319232 0,0150324438719393 0,0385926691463249 -0,00678784138823765 -0,00360946973836589 0,00768785161823842
0,0365234891812983 0,0153792445555548 0,0396293631676813 -0,00668770401447549 -0,00354865654763168 0,00757088820933718
0,0372091044568553 0,0156232404628639 0,0403559549142581 -0,00661996005094319 -0,00350762530016351 0,00749181595625726
0,0375420538684723 0,0157404673962864 0,0407083298910288 -0,00658577297919098 -0,00348694918807925 0,0074519272925659
0,0374911765867464 0,0157184469912541 0,0406528953172522 -0,00658577297919098 -0,00348694918807925 0,0074519272925659
0,0370572881512094 0,0155573371315862 0,0401904633432808 -0,00661996005094319 -0,00350762530016351 0,00749181595625726
0,0362731697494476 0,0152699445692392 0,0393562453851975 -0,00668770401447549 -0,00354865654763168 0,00757088820933718
0,0351998339522903 0,0148806070259805 0,0382159753994383 -0,00678784138823765 -0,00360946973836589 0,00768785161823842
0,0339201751380259 0,0144231997688479 0,0368592861158005 -0,0069188627335269 -0,00368937199797535 0,00784105396390255
0,0325303652253767 0,0139385994292971 0,0353908069383393 -0,00707923176877776 -0,00378778947264536 0,00802887735148291
0,0311327367060296 0,0134719346254419 0,0339225635434462 -0,00726760042458368 -0,00390439554556383 0,00824998912166723
0,029826177132791 0,0130696799550679 0,032564050369764 -0,00748321946421962 -0,00403942543624501 0,00850385391482348
0,0287005897811369 0,0127765085749978 0,0314159676781106 -0,00772603917531293 -0,00419371308358654 0,00879084243778234
0,0278295897459058 0,0126318049448896 0,0305622080614468 -0,00799677885881744 -0,00436873169703119 0,00911231522487422
0,0272667573918374 0,0126662885225689 0,0300651114017939 -0,00829665570455201 -0,00456632074329728 0,0094702577056035
0,0270415192469574 0,0128987692317252 0,0299603406335254 -0,00862674781917307 -0,00478828006795028 0,00986652947822775
0,0271604508216696 0,0133360890080849 0,0302579139873835 -0,00898770424619907 -0,00503597854308008 0,0103024224094874
0,0276100497974445 0,0139741735691914 0,0309449895259193 -0,00937901433390512 -0,00530988564258803 0,0107777917688625
0,0283624440986032 0,0148016188830872 0,0319924390568546 -0,00979880034002773 -0,00560939321912219 0,0112907829839414
0,028307563256447 0,0143244311056515 0,0317255017930104 -0,00937901433390512 -0,00530988564258803 0,0107777917688625
0,0273946885570347 0,0134199163989048 0,0305051326384679 -0,00895759913657079 -0,00501513102687881 0,0102659690973749
0,0267671979646099 0,0126975130003643 0,0296261661925913 -0,00856667428933642 -0,00474755075732125 0,00979424047963492
0,0264644479119247 0,0121746944961732 0,0291305713874295 -0,00820672535082147 -0,00450664841911535 0,00936270372047149
0,0265155609458537 0,0118630739839154 0,0290483647839449 -0,00787669986708107 -0,0042906922015057 0,00896952843599577
0,0269310156871934 0,0117634708958655 0,0293880733200006 -0,00757467537225349 -0,00409722941336038 0,00861179399781074
0,0276951334816161 0,0118623638537906 0,0301286590269837 -0,00729864131210536 -0,00392372727135748 0,00828648301167422
0,0287628473039143 0,0121317720851516 0,0312166827025928 -0,00704743295607896 -0,00376821691450858 0,00799160622060525
0,0300604928381014 0,0125308467024221 0,0325677040754971 -0,00682084960069502 -0,00362956122361627 0,00772642892617801
0,0314898918335754 0,0130103268739556 0,0340717169079788 -0,00661996005094319 -0,00350762530016351 0,00749181595625726
0,0329367830548327 0,013516780566555 0,0356024582702587 -0,00644677155904233 -0,00340306643793962 0,00728983708429126
0,0342788966337323 0,0139967620870049 0,0370263703776959 -0,00630385568075047 -0,00331707971567863 0,0071233148381843
0,0353971586201508 0,0144007349039163 0,0382143952477726 -0,00619384550088323 -0,00325102714733621 0,00699520547243099
