%	omega		f, kHz		S0			   A0			  SH0
    2.513073   399.967957   0.470420E+00   0.114866E+01   0.804968E+00
    2.519348   400.966622   0.471620E+00   0.115069E+01   0.806978E+00
    2.525622   401.965287   0.472820E+00   0.115272E+01   0.808988E+00
    2.531897   402.963952   0.474020E+00   0.115475E+01   0.810998E+00
    2.538172   403.962617   0.475220E+00   0.115678E+01   0.813008E+00
    2.544447   404.961282   0.476420E+00   0.115881E+01   0.815018E+00
    2.550722   405.959947   0.477621E+00   0.116083E+01   0.817028E+00
    2.556996   406.958611   0.478822E+00   0.116286E+01   0.819038E+00
    2.563271   407.957276   0.480023E+00   0.116489E+01   0.821047E+00
    2.569546   408.955941   0.481224E+00   0.116691E+01   0.823057E+00
    2.575821   409.954606   0.482426E+00   0.116894E+01   0.825067E+00
    2.582096   410.953271   0.483627E+00   0.117096E+01   0.827077E+00
    2.588370   411.951936   0.484829E+00   0.117299E+01   0.829087E+00
    2.594645   412.950601   0.486031E+00   0.117501E+01   0.831097E+00
    2.600920   413.949266   0.487234E+00   0.117703E+01   0.833107E+00
    2.607195   414.947931   0.488436E+00   0.117906E+01   0.835117E+00
    2.613470   415.946595   0.489639E+00   0.118108E+01   0.837127E+00
    2.619744   416.945260   0.490842E+00   0.118310E+01   0.839136E+00
    2.626019   417.943925   0.492046E+00   0.118513E+01   0.841146E+00
    2.632294   418.942590   0.493249E+00   0.118715E+01   0.843156E+00
    2.638569   419.941255   0.494453E+00   0.118917E+01   0.845166E+00
    2.644844   420.939920   0.495657E+00   0.119119E+01   0.847176E+00
    2.651118   421.938585   0.496861E+00   0.119321E+01   0.849186E+00
    2.657393   422.937250   0.498066E+00   0.119523E+01   0.851196E+00
    2.663668   423.935915   0.499270E+00   0.119725E+01   0.853206E+00
    2.669943   424.934579   0.500475E+00   0.119927E+01   0.855216E+00
    2.676218   425.933244   0.501680E+00   0.120129E+01   0.857225E+00
    2.682492   426.931909   0.502886E+00   0.120331E+01   0.859235E+00
    2.688767   427.930574   0.504091E+00   0.120533E+01   0.861245E+00
    2.695042   428.929239   0.505297E+00   0.120735E+01   0.863255E+00
    2.701317   429.927904   0.506503E+00   0.120937E+01   0.865265E+00
    2.707591   430.926569   0.507710E+00   0.121138E+01   0.867275E+00
    2.713866   431.925234   0.508916E+00   0.121340E+01   0.869285E+00
    2.720141   432.923899   0.510123E+00   0.121542E+01   0.871295E+00
    2.726416   433.922563   0.511330E+00   0.121743E+01   0.873305E+00
    2.732691   434.921228   0.512537E+00   0.121945E+01   0.875315E+00
    2.738965   435.919893   0.513745E+00   0.122147E+01   0.877324E+00
    2.745240   436.918558   0.514953E+00   0.122348E+01   0.879334E+00
    2.751515   437.917223   0.516161E+00   0.122550E+01   0.881344E+00
    2.757790   438.915888   0.517369E+00   0.122751E+01   0.883354E+00
    2.764065   439.914553   0.518578E+00   0.122953E+01   0.885364E+00
    2.770339   440.913218   0.519787E+00   0.123154E+01   0.887374E+00
    2.776614   441.911883   0.520996E+00   0.123356E+01   0.889384E+00
    2.782889   442.910547   0.522205E+00   0.123557E+01   0.891394E+00
    2.789164   443.909212   0.523414E+00   0.123758E+01   0.893404E+00
    2.795439   444.907877   0.524624E+00   0.123960E+01   0.895413E+00
    2.801713   445.906542   0.525834E+00   0.124161E+01   0.897423E+00
    2.807988   446.905207   0.527045E+00   0.124362E+01   0.899433E+00
    2.814263   447.903872   0.528255E+00   0.124564E+01   0.901443E+00
    2.820538   448.902537   0.529466E+00   0.124765E+01   0.903453E+00
    2.826813   449.901202   0.530677E+00   0.124966E+01   0.905463E+00
    2.833087   450.899866   0.531889E+00   0.125167E+01   0.907473E+00
    2.839362   451.898531   0.533100E+00   0.125368E+01   0.909483E+00
    2.845637   452.897196   0.534312E+00   0.125569E+01   0.911493E+00
    2.851912   453.895861   0.535524E+00   0.125770E+01   0.913503E+00
    2.858187   454.894526   0.536737E+00   0.125971E+01   0.915512E+00
    2.864461   455.893191   0.537950E+00   0.126173E+01   0.917522E+00
    2.870736   456.891856   0.539163E+00   0.126373E+01   0.919532E+00
    2.877011   457.890521   0.540376E+00   0.126574E+01   0.921542E+00
    2.883286   458.889186   0.541589E+00   0.126775E+01   0.923552E+00
    2.889561   459.887850   0.542803E+00   0.126976E+01   0.925562E+00
    2.895835   460.886515   0.544017E+00   0.127177E+01   0.927572E+00
    2.902110   461.885180   0.545231E+00   0.127378E+01   0.929582E+00
    2.908385   462.883845   0.546446E+00   0.127579E+01   0.931592E+00
    2.914660   463.882510   0.547661E+00   0.127780E+01   0.933602E+00
    2.920935   464.881175   0.548876E+00   0.127980E+01   0.935611E+00
    2.927209   465.879840   0.550092E+00   0.128181E+01   0.937621E+00
    2.933484   466.878505   0.551307E+00   0.128382E+01   0.939631E+00
    2.939759   467.877170   0.552523E+00   0.128583E+01   0.941641E+00
    2.946034   468.875834   0.553740E+00   0.128783E+01   0.943651E+00
    2.952309   469.874499   0.554956E+00   0.128984E+01   0.945661E+00
    2.958583   470.873164   0.556173E+00   0.129185E+01   0.947671E+00
    2.964858   471.871829   0.557390E+00   0.129385E+01   0.949681E+00
    2.971133   472.870494   0.558608E+00   0.129586E+01   0.951691E+00
    2.977408   473.869159   0.559825E+00   0.129786E+01   0.953700E+00
    2.983683   474.867824   0.561043E+00   0.129987E+01   0.955710E+00
    2.989957   475.866489   0.562262E+00   0.130187E+01   0.957720E+00
    2.996232   476.865154   0.563480E+00   0.130388E+01   0.959730E+00
    3.002507   477.863818   0.564699E+00   0.130588E+01   0.961740E+00
    3.008782   478.862483   0.565918E+00   0.130789E+01   0.963750E+00
    3.015057   479.861148   0.567138E+00   0.130989E+01   0.965760E+00
    3.021331   480.859813   0.568357E+00   0.131190E+01   0.967770E+00
    3.027606   481.858478   0.569577E+00   0.131390E+01   0.969780E+00
    3.033881   482.857143   0.570798E+00   0.131591E+01   0.971790E+00
    3.040156   483.855808   0.572019E+00   0.131791E+01   0.973799E+00
    3.046430   484.854473   0.573239E+00   0.131991E+01   0.975809E+00
    3.052705   485.853138   0.574461E+00   0.132191E+01   0.977819E+00
    3.058980   486.851802   0.575682E+00   0.132392E+01   0.979829E+00
    3.065255   487.850467   0.576904E+00   0.132592E+01   0.981839E+00
    3.071530   488.849132   0.578126E+00   0.132792E+01   0.983849E+00
    3.077804   489.847797   0.579349E+00   0.132992E+01   0.985859E+00
    3.084079   490.846462   0.580572E+00   0.133193E+01   0.987869E+00
    3.090354   491.845127   0.581795E+00   0.133393E+01   0.989879E+00
    3.096629   492.843792   0.583018E+00   0.133593E+01   0.991888E+00
    3.102904   493.842457   0.584242E+00   0.133793E+01   0.993898E+00
    3.109178   494.841121   0.585466E+00   0.133993E+01   0.995908E+00
    3.115453   495.839786   0.586690E+00   0.134193E+01   0.997918E+00
    3.121728   496.838451   0.587915E+00   0.134394E+01   0.999928E+00
    3.128003   497.837116   0.589140E+00   0.134594E+01   0.100194E+01
    3.134278   498.835781   0.590365E+00   0.134794E+01   0.100395E+01
    3.140552   499.834446   0.591591E+00   0.134994E+01   0.100596E+01
    3.146827   500.833111   0.592817E+00   0.135194E+01   0.100797E+01
    3.153102   501.831776   0.594043E+00   0.135394E+01   0.100998E+01
    3.159377   502.830441   0.595270E+00   0.135594E+01   0.101199E+01
    3.165652   503.829105   0.596497E+00   0.135794E+01   0.101400E+01
    3.171926   504.827770   0.597724E+00   0.135994E+01   0.101601E+01
    3.178201   505.826435   0.598952E+00   0.136194E+01   0.101802E+01
    3.184476   506.825100   0.600180E+00   0.136393E+01   0.102003E+01
    3.190751   507.823765   0.601408E+00   0.136593E+01   0.102204E+01
    3.197026   508.822430   0.602637E+00   0.136793E+01   0.102405E+01
    3.203300   509.821095   0.603866E+00   0.136993E+01   0.102606E+01
    3.209575   510.819760   0.605095E+00   0.137193E+01   0.102807E+01
    3.215850   511.818425   0.606325E+00   0.137393E+01   0.103008E+01
    3.222125   512.817089   0.607555E+00   0.137593E+01   0.103209E+01
    3.228400   513.815754   0.608785E+00   0.137792E+01   0.103410E+01
    3.234674   514.814419   0.610016E+00   0.137992E+01   0.103611E+01
    3.240949   515.813084   0.611247E+00   0.138192E+01   0.103812E+01
    3.247224   516.811749   0.612478E+00   0.138392E+01   0.104013E+01
    3.253499   517.810414   0.613710E+00   0.138591E+01   0.104214E+01
    3.259774   518.809079   0.614942E+00   0.138791E+01   0.104415E+01
    3.266048   519.807744   0.616174E+00   0.138991E+01   0.104616E+01
    3.272323   520.806409   0.617407E+00   0.139191E+01   0.104817E+01
    3.278598   521.805073   0.618640E+00   0.139390E+01   0.105018E+01
    3.284873   522.803738   0.619873E+00   0.139590E+01   0.105219E+01
    3.291148   523.802403   0.621107E+00   0.139789E+01   0.105420E+01
    3.297422   524.801068   0.622341E+00   0.139989E+01   0.105621E+01
    3.303697   525.799733   0.623576E+00   0.140189E+01   0.105821E+01
    3.309972   526.798398   0.624811E+00   0.140388E+01   0.106022E+01
    3.316247   527.797063   0.626046E+00   0.140588E+01   0.106223E+01
    3.322522   528.795728   0.627282E+00   0.140788E+01   0.106424E+01
    3.328796   529.794393   0.628518E+00   0.140987E+01   0.106625E+01
    3.335071   530.793057   0.629754E+00   0.141187E+01   0.106826E+01
    3.341346   531.791722   0.630991E+00   0.141386E+01   0.107027E+01
    3.347621   532.790387   0.632228E+00   0.141586E+01   0.107228E+01
    3.353896   533.789052   0.633465E+00   0.141785E+01   0.107429E+01
    3.360170   534.787717   0.634703E+00   0.141985E+01   0.107630E+01
    3.366445   535.786382   0.635942E+00   0.142184E+01   0.107831E+01
    3.372720   536.785047   0.637180E+00   0.142384E+01   0.108032E+01
    3.378995   537.783712   0.638419E+00   0.142583E+01   0.108233E+01
    3.385270   538.782377   0.639658E+00   0.142783E+01   0.108434E+01
    3.391544   539.781041   0.640898E+00   0.142982E+01   0.108635E+01
    3.397819   540.779706   0.642138E+00   0.143181E+01   0.108836E+01
    3.404094   541.778371   0.643379E+00   0.143381E+01   0.109037E+01
    3.410369   542.777036   0.644620E+00   0.143580E+01   0.109238E+01
    3.416643   543.775701   0.645861E+00   0.143780E+01   0.109439E+01
    3.422918   544.774366   0.647103E+00   0.143979E+01   0.109640E+01
    3.429193   545.773031   0.648345E+00   0.144178E+01   0.109841E+01
    3.435468   546.771696   0.649587E+00   0.144378E+01   0.110042E+01
    3.441743   547.770360   0.650830E+00   0.144577E+01   0.110243E+01
    3.448017   548.769025   0.652074E+00   0.144777E+01   0.110444E+01
    3.454292   549.767690   0.653317E+00   0.144976E+01   0.110645E+01
    3.460567   550.766355   0.654561E+00   0.145175E+01   0.110846E+01
    3.466842   551.765020   0.655806E+00   0.145374E+01   0.111047E+01
    3.473117   552.763685   0.657051E+00   0.145574E+01   0.111248E+01
    3.479391   553.762350   0.658296E+00   0.145773E+01   0.111449E+01
    3.485666   554.761015   0.659542E+00   0.145972E+01   0.111650E+01
    3.491941   555.759680   0.660788E+00   0.146172E+01   0.111851E+01
    3.498216   556.758344   0.662034E+00   0.146371E+01   0.112052E+01
    3.504491   557.757009   0.663281E+00   0.146570E+01   0.112253E+01
    3.510765   558.755674   0.664529E+00   0.146769E+01   0.112454E+01
    3.517040   559.754339   0.665776E+00   0.146969E+01   0.112655E+01
    3.523315   560.753004   0.667025E+00   0.147168E+01   0.112856E+01
    3.529590   561.751669   0.668273E+00   0.147367E+01   0.113057E+01
    3.535865   562.750334   0.669522E+00   0.147566E+01   0.113258E+01
    3.542139   563.748999   0.670772E+00   0.147765E+01   0.113459E+01
    3.548414   564.747664   0.672022E+00   0.147965E+01   0.113660E+01
    3.554689   565.746328   0.673272E+00   0.148164E+01   0.113861E+01
    3.560964   566.744993   0.674523E+00   0.148363E+01   0.114062E+01
    3.567239   567.743658   0.675774E+00   0.148562E+01   0.114263E+01
    3.573513   568.742323   0.677026E+00   0.148761E+01   0.114464E+01
    3.579788   569.740988   0.678278E+00   0.148960E+01   0.114665E+01
    3.586063   570.739653   0.679530E+00   0.149160E+01   0.114866E+01
    3.592338   571.738318   0.680783E+00   0.149359E+01   0.115067E+01
    3.598613   572.736983   0.682036E+00   0.149558E+01   0.115268E+01
    3.604887   573.735648   0.683290E+00   0.149757E+01   0.115469E+01
    3.611162   574.734312   0.684545E+00   0.149956E+01   0.115670E+01
    3.617437   575.732977   0.685799E+00   0.150155E+01   0.115871E+01
    3.623712   576.731642   0.687054E+00   0.150354E+01   0.116072E+01
    3.629987   577.730307   0.688310E+00   0.150553E+01   0.116273E+01
    3.636261   578.728972   0.689566E+00   0.150752E+01   0.116474E+01
    3.642536   579.727637   0.690823E+00   0.150951E+01   0.116675E+01
    3.648811   580.726302   0.692080E+00   0.151150E+01   0.116876E+01
    3.655086   581.724967   0.693337E+00   0.151349E+01   0.117077E+01
    3.661361   582.723632   0.694595E+00   0.151549E+01   0.117278E+01
    3.667635   583.722296   0.695854E+00   0.151748E+01   0.117479E+01
    3.673910   584.720961   0.697112E+00   0.151947E+01   0.117680E+01
    3.680185   585.719626   0.698372E+00   0.152146E+01   0.117881E+01
    3.686460   586.718291   0.699632E+00   0.152345E+01   0.118082E+01
    3.692735   587.716956   0.700892E+00   0.152544E+01   0.118283E+01
    3.699009   588.715621   0.702153E+00   0.152743E+01   0.118484E+01
    3.705284   589.714286   0.703414E+00   0.152942E+01   0.118685E+01
    3.711559   590.712951   0.704676E+00   0.153141E+01   0.118886E+01
    3.717834   591.711615   0.705938E+00   0.153340E+01   0.119087E+01
    3.724109   592.710280   0.707201E+00   0.153539E+01   0.119288E+01
    3.730383   593.708945   0.708464E+00   0.153738E+01   0.119489E+01
    3.736658   594.707610   0.709728E+00   0.153937E+01   0.119690E+01
    3.742933   595.706275   0.710992E+00   0.154136E+01   0.119891E+01
    3.749208   596.704940   0.712256E+00   0.154334E+01   0.120092E+01
    3.755483   597.703605   0.713521E+00   0.154533E+01   0.120293E+01
    3.761757   598.702270   0.714787E+00   0.154732E+01   0.120494E+01
    3.768032   599.700935   0.716053E+00   0.154931E+01   0.120695E+01
    3.774307   600.699599   0.717320E+00   0.155130E+01   0.120896E+01
    3.780582   601.698264   0.718587E+00   0.155329E+01   0.121097E+01
    3.786856   602.696929   0.719855E+00   0.155528E+01   0.121298E+01
    3.793131   603.695594   0.721123E+00   0.155727E+01   0.121499E+01
    3.799406   604.694259   0.722392E+00   0.155926E+01   0.121700E+01
    3.805681   605.692924   0.723661E+00   0.156125E+01   0.121901E+01
    3.811956   606.691589   0.724931E+00   0.156324E+01   0.122102E+01
    3.818230   607.690254   0.726201E+00   0.156523E+01   0.122303E+01
    3.824505   608.688919   0.727472E+00   0.156722E+01   0.122504E+01
    3.830780   609.687583   0.728743E+00   0.156921E+01   0.122705E+01
    3.837055   610.686248   0.730015E+00   0.157119E+01   0.122906E+01
    3.843330   611.684913   0.731287E+00   0.157318E+01   0.123107E+01
    3.849604   612.683578   0.732560E+00   0.157517E+01   0.123308E+01
    3.855879   613.682243   0.733833E+00   0.157716E+01   0.123509E+01
    3.862154   614.680908   0.735107E+00   0.157915E+01   0.123710E+01
    3.868429   615.679573   0.736382E+00   0.158114E+01   0.123911E+01
    3.874704   616.678238   0.737657E+00   0.158313E+01   0.124112E+01
    3.880978   617.676903   0.738933E+00   0.158512E+01   0.124313E+01
    3.887253   618.675567   0.740209E+00   0.158710E+01   0.124514E+01
    3.893528   619.674232   0.741485E+00   0.158909E+01   0.124715E+01
    3.899803   620.672897   0.742763E+00   0.159108E+01   0.124916E+01
    3.906078   621.671562   0.744040E+00   0.159307E+01   0.125116E+01
    3.912352   622.670227   0.745319E+00   0.159506E+01   0.125317E+01
    3.918627   623.668892   0.746598E+00   0.159705E+01   0.125518E+01
    3.924902   624.667557   0.747877E+00   0.159904E+01   0.125719E+01
    3.931177   625.666222   0.749157E+00   0.160102E+01   0.125920E+01
    3.937452   626.664887   0.750438E+00   0.160301E+01   0.126121E+01
    3.943726   627.663551   0.751719E+00   0.160500E+01   0.126322E+01
    3.950001   628.662216   0.753001E+00   0.160699E+01   0.126523E+01
    3.956276   629.660881   0.754283E+00   0.160898E+01   0.126724E+01
    3.962551   630.659546   0.755566E+00   0.161097E+01   0.126925E+01
    3.968826   631.658211   0.756850E+00   0.161295E+01   0.127126E+01
    3.975100   632.656876   0.758134E+00   0.161494E+01   0.127327E+01
    3.981375   633.655541   0.759418E+00   0.161693E+01   0.127528E+01
    3.987650   634.654206   0.760704E+00   0.161892E+01   0.127729E+01
    3.993925   635.652870   0.761990E+00   0.162091E+01   0.127930E+01
    4.000200   636.651535   0.763276E+00   0.162289E+01   0.128131E+01
    4.006474   637.650200   0.764563E+00   0.162488E+01   0.128332E+01
    4.012749   638.648865   0.765851E+00   0.162687E+01   0.128533E+01
    4.019024   639.647530   0.767139E+00   0.162886E+01   0.128734E+01
    4.025299   640.646195   0.768428E+00   0.163085E+01   0.128935E+01
    4.031574   641.644860   0.769717E+00   0.163283E+01   0.129136E+01
    4.037848   642.643525   0.771007E+00   0.163482E+01   0.129337E+01
    4.044123   643.642190   0.772298E+00   0.163681E+01   0.129538E+01
    4.050398   644.640854   0.773589E+00   0.163880E+01   0.129739E+01
    4.056673   645.639519   0.774881E+00   0.164079E+01   0.129940E+01
    4.062948   646.638184   0.776174E+00   0.164277E+01   0.130141E+01
    4.069222   647.636849   0.777467E+00   0.164476E+01   0.130342E+01
    4.075497   648.635514   0.778761E+00   0.164675E+01   0.130543E+01
    4.081772   649.634179   0.780056E+00   0.164874E+01   0.130744E+01
    4.088047   650.632844   0.781351E+00   0.165073E+01   0.130945E+01
    4.094322   651.631509   0.782647E+00   0.165271E+01   0.131146E+01
    4.100596   652.630174   0.783943E+00   0.165470E+01   0.131347E+01
    4.106871   653.628838   0.785240E+00   0.165669E+01   0.131548E+01
    4.113146   654.627503   0.786538E+00   0.165868E+01   0.131749E+01
    4.119421   655.626168   0.787836E+00   0.166067E+01   0.131950E+01
    4.125696   656.624833   0.789135E+00   0.166265E+01   0.132151E+01
    4.131970   657.623498   0.790435E+00   0.166464E+01   0.132352E+01
    4.138245   658.622163   0.791735E+00   0.166663E+01   0.132553E+01
    4.144520   659.620828   0.793036E+00   0.166862E+01   0.132754E+01
    4.150795   660.619493   0.794338E+00   0.167061E+01   0.132955E+01
    4.157069   661.618158   0.795640E+00   0.167259E+01   0.133156E+01
    4.163344   662.616822   0.796943E+00   0.167458E+01   0.133357E+01
    4.169619   663.615487   0.798247E+00   0.167657E+01   0.133558E+01
    4.175894   664.614152   0.799551E+00   0.167856E+01   0.133759E+01
    4.182169   665.612817   0.800856E+00   0.168054E+01   0.133960E+01
    4.188443   666.611482   0.802162E+00   0.168253E+01   0.134161E+01
    4.194718   667.610147   0.803469E+00   0.168452E+01   0.134362E+01
    4.200993   668.608812   0.804776E+00   0.168651E+01   0.134563E+01
    4.207268   669.607477   0.806084E+00   0.168850E+01   0.134764E+01
    4.213543   670.606142   0.807392E+00   0.169048E+01   0.134965E+01
    4.219817   671.604806   0.808702E+00   0.169247E+01   0.135166E+01
    4.226092   672.603471   0.810012E+00   0.169446E+01   0.135367E+01
    4.232367   673.602136   0.811322E+00   0.169645E+01   0.135568E+01
    4.238642   674.600801   0.812634E+00   0.169844E+01   0.135769E+01
    4.244917   675.599466   0.813946E+00   0.170042E+01   0.135970E+01
    4.251191   676.598131   0.815259E+00   0.170241E+01   0.136171E+01
    4.257466   677.596796   0.816572E+00   0.170440E+01   0.136372E+01
    4.263741   678.595461   0.817887E+00   0.170639E+01   0.136573E+01
    4.270016   679.594126   0.819202E+00   0.170837E+01   0.136774E+01
    4.276291   680.592790   0.820518E+00   0.171036E+01   0.136975E+01
    4.282565   681.591455   0.821834E+00   0.171235E+01   0.137176E+01
    4.288840   682.590120   0.823152E+00   0.171434E+01   0.137377E+01
    4.295115   683.588785   0.824470E+00   0.171633E+01   0.137578E+01
    4.301390   684.587450   0.825788E+00   0.171831E+01   0.137779E+01
    4.307665   685.586115   0.827108E+00   0.172030E+01   0.137980E+01
    4.313939   686.584780   0.828428E+00   0.172229E+01   0.138181E+01
    4.320214   687.583445   0.829750E+00   0.172428E+01   0.138382E+01
    4.326489   688.582109   0.831071E+00   0.172627E+01   0.138583E+01
    4.332764   689.580774   0.832394E+00   0.172825E+01   0.138784E+01
    4.339039   690.579439   0.833717E+00   0.173024E+01   0.138985E+01
    4.345313   691.578104   0.835042E+00   0.173223E+01   0.139186E+01
    4.351588   692.576769   0.836367E+00   0.173422E+01   0.139387E+01
    4.357863   693.575434   0.837693E+00   0.173621E+01   0.139588E+01
    4.364138   694.574099   0.839019E+00   0.173819E+01   0.139789E+01
    4.370413   695.572764   0.840347E+00   0.174018E+01   0.139990E+01
    4.376687   696.571429   0.841675E+00   0.174217E+01   0.140191E+01
    4.382962   697.570093   0.843004E+00   0.174416E+01   0.140392E+01
    4.389237   698.568758   0.844334E+00   0.174615E+01   0.140593E+01
    4.395512   699.567423   0.845664E+00   0.174813E+01   0.140794E+01
    4.401787   700.566088   0.846996E+00   0.175012E+01   0.140995E+01
    4.408061   701.564753   0.848328E+00   0.175211E+01   0.141196E+01
    4.414336   702.563418   0.849661E+00   0.175410E+01   0.141397E+01
    4.420611   703.562083   0.850995E+00   0.175609E+01   0.141598E+01
    4.426886   704.560748   0.852330E+00   0.175808E+01   0.141799E+01
    4.433161   705.559413   0.853666E+00   0.176006E+01   0.142000E+01
    4.439435   706.558077   0.855002E+00   0.176205E+01   0.142201E+01
    4.445710   707.556742   0.856340E+00   0.176404E+01   0.142402E+01
    4.451985   708.555407   0.857678E+00   0.176603E+01   0.142603E+01
    4.458260   709.554072   0.859017E+00   0.176802E+01   0.142804E+01
    4.464535   710.552737   0.860357E+00   0.177001E+01   0.143005E+01
    4.470809   711.551402   0.861698E+00   0.177199E+01   0.143206E+01
    4.477084   712.550067   0.863039E+00   0.177398E+01   0.143407E+01
    4.483359   713.548732   0.864382E+00   0.177597E+01   0.143608E+01
    4.489634   714.547397   0.865725E+00   0.177796E+01   0.143809E+01
    4.495908   715.546061   0.867070E+00   0.177995E+01   0.144009E+01
    4.502183   716.544726   0.868415E+00   0.178194E+01   0.144210E+01
    4.508458   717.543391   0.869761E+00   0.178392E+01   0.144411E+01
    4.514733   718.542056   0.871108E+00   0.178591E+01   0.144612E+01
    4.521008   719.540721   0.872456E+00   0.178790E+01   0.144813E+01
    4.527282   720.539386   0.873805E+00   0.178989E+01   0.145014E+01
    4.533557   721.538051   0.875154E+00   0.179188E+01   0.145215E+01
    4.539832   722.536716   0.876505E+00   0.179387E+01   0.145416E+01
    4.546107   723.535381   0.877857E+00   0.179586E+01   0.145617E+01
    4.552382   724.534045   0.879209E+00   0.179785E+01   0.145818E+01
    4.558656   725.532710   0.880563E+00   0.179983E+01   0.146019E+01
    4.564931   726.531375   0.881917E+00   0.180182E+01   0.146220E+01
    4.571206   727.530040   0.883272E+00   0.180381E+01   0.146421E+01
    4.577481   728.528705   0.884629E+00   0.180580E+01   0.146622E+01
    4.583756   729.527370   0.885986E+00   0.180779E+01   0.146823E+01
    4.590030   730.526035   0.887344E+00   0.180978E+01   0.147024E+01
    4.596305   731.524700   0.888704E+00   0.181177E+01   0.147225E+01
    4.602580   732.523364   0.890064E+00   0.181376E+01   0.147426E+01
    4.608855   733.522029   0.891425E+00   0.181575E+01   0.147627E+01
    4.615130   734.520694   0.892787E+00   0.181773E+01   0.147828E+01
    4.621404   735.519359   0.894150E+00   0.181972E+01   0.148029E+01
    4.627679   736.518024   0.895514E+00   0.182171E+01   0.148230E+01
    4.633954   737.516689   0.896879E+00   0.182370E+01   0.148431E+01
    4.640229   738.515354   0.898246E+00   0.182569E+01   0.148632E+01
    4.646504   739.514019   0.899613E+00   0.182768E+01   0.148833E+01
    4.652778   740.512684   0.900981E+00   0.182967E+01   0.149034E+01
    4.659053   741.511348   0.902350E+00   0.183166E+01   0.149235E+01
    4.665328   742.510013   0.903720E+00   0.183365E+01   0.149436E+01
    4.671603   743.508678   0.905092E+00   0.183564E+01   0.149637E+01
    4.677878   744.507343   0.906464E+00   0.183763E+01   0.149838E+01
    4.684152   745.506008   0.907837E+00   0.183962E+01   0.150039E+01
    4.690427   746.504673   0.909212E+00   0.184161E+01   0.150240E+01
    4.696702   747.503338   0.910587E+00   0.184360E+01   0.150441E+01
    4.702977   748.502003   0.911964E+00   0.184559E+01   0.150642E+01
    4.709252   749.500668   0.913341E+00   0.184757E+01   0.150843E+01
