%	omega		f, kHz		S0			   A0			  SH0
    0.580435    92.379172   0.107660E+00   0.460683E+00   0.185921E+00
    0.586710    93.377837   0.108825E+00   0.463477E+00   0.187930E+00
    0.592985    94.376502   0.109990E+00   0.466261E+00   0.189940E+00
    0.599260    95.375167   0.111155E+00   0.469034E+00   0.191950E+00
    0.605535    96.373832   0.112320E+00   0.471798E+00   0.193960E+00
    0.611809    97.372497   0.113485E+00   0.474553E+00   0.195970E+00
    0.618084    98.371162   0.114650E+00   0.477298E+00   0.197980E+00
    0.624359    99.369826   0.115816E+00   0.480034E+00   0.199990E+00
    0.630634   100.368491   0.116981E+00   0.482761E+00   0.202000E+00
    0.636909   101.367156   0.118146E+00   0.485480E+00   0.204010E+00
    0.643183   102.365821   0.119311E+00   0.488189E+00   0.206020E+00
    0.649458   103.364486   0.120477E+00   0.490890E+00   0.208029E+00
    0.655733   104.363151   0.121642E+00   0.493583E+00   0.210039E+00
    0.662008   105.361816   0.122808E+00   0.496267E+00   0.212049E+00
    0.668283   106.360481   0.123973E+00   0.498943E+00   0.214059E+00
    0.674557   107.359146   0.125139E+00   0.501611E+00   0.216069E+00
    0.680832   108.357810   0.126304E+00   0.504272E+00   0.218079E+00
    0.687107   109.356475   0.127470E+00   0.506924E+00   0.220089E+00
    0.693382   110.355140   0.128635E+00   0.509569E+00   0.222099E+00
    0.699657   111.353805   0.129801E+00   0.512207E+00   0.224109E+00
    0.705931   112.352470   0.130967E+00   0.514837E+00   0.226119E+00
    0.712206   113.351135   0.132133E+00   0.517460E+00   0.228128E+00
    0.718481   114.349800   0.133298E+00   0.520075E+00   0.230138E+00
    0.724756   115.348465   0.134464E+00   0.522684E+00   0.232148E+00
    0.731031   116.347130   0.135630E+00   0.525286E+00   0.234158E+00
    0.737305   117.345794   0.136796E+00   0.527880E+00   0.236168E+00
    0.743580   118.344459   0.137962E+00   0.530469E+00   0.238178E+00
    0.749855   119.343124   0.139128E+00   0.533050E+00   0.240188E+00
    0.756130   120.341789   0.140294E+00   0.535625E+00   0.242198E+00
    0.762405   121.340454   0.141461E+00   0.538194E+00   0.244208E+00
    0.768679   122.339119   0.142627E+00   0.540756E+00   0.246217E+00
    0.774954   123.337784   0.143793E+00   0.543312E+00   0.248227E+00
    0.781229   124.336449   0.144959E+00   0.545862E+00   0.250237E+00
    0.787504   125.335113   0.146126E+00   0.548406E+00   0.252247E+00
    0.793779   126.333778   0.147292E+00   0.550944E+00   0.254257E+00
    0.800053   127.332443   0.148458E+00   0.553476E+00   0.256267E+00
    0.806328   128.331108   0.149625E+00   0.556002E+00   0.258277E+00
    0.812603   129.329773   0.150791E+00   0.558523E+00   0.260287E+00
    0.818878   130.328438   0.151958E+00   0.561038E+00   0.262297E+00
    0.825153   131.327103   0.153125E+00   0.563547E+00   0.264307E+00
    0.831427   132.325768   0.154291E+00   0.566051E+00   0.266316E+00
    0.837702   133.324433   0.155458E+00   0.568549E+00   0.268326E+00
    0.843977   134.323097   0.156625E+00   0.571042E+00   0.270336E+00
    0.850252   135.321762   0.157792E+00   0.573530E+00   0.272346E+00
    0.856527   136.320427   0.158959E+00   0.576013E+00   0.274356E+00
    0.862801   137.319092   0.160126E+00   0.578490E+00   0.276366E+00
    0.869076   138.317757   0.161293E+00   0.580963E+00   0.278376E+00
    0.875351   139.316422   0.162460E+00   0.583430E+00   0.280386E+00
    0.881626   140.315087   0.163627E+00   0.585893E+00   0.282396E+00
    0.887900   141.313752   0.164794E+00   0.588351E+00   0.284406E+00
    0.894175   142.312417   0.165961E+00   0.590804E+00   0.286415E+00
    0.900450   143.311081   0.167129E+00   0.593252E+00   0.288425E+00
    0.906725   144.309746   0.168296E+00   0.595695E+00   0.290435E+00
    0.913000   145.308411   0.169463E+00   0.598134E+00   0.292445E+00
    0.919274   146.307076   0.170631E+00   0.600569E+00   0.294455E+00
    0.925549   147.305741   0.171798E+00   0.602999E+00   0.296465E+00
    0.931824   148.304406   0.172966E+00   0.605424E+00   0.298475E+00
    0.938099   149.303071   0.174134E+00   0.607845E+00   0.300485E+00
    0.944374   150.301736   0.175301E+00   0.610262E+00   0.302495E+00
    0.950648   151.300401   0.176469E+00   0.612674E+00   0.304504E+00
    0.956923   152.299065   0.177637E+00   0.615083E+00   0.306514E+00
    0.963198   153.297730   0.178805E+00   0.617487E+00   0.308524E+00
    0.969473   154.296395   0.179973E+00   0.619887E+00   0.310534E+00
    0.975748   155.295060   0.181141E+00   0.622283E+00   0.312544E+00
    0.982022   156.293725   0.182309E+00   0.624675E+00   0.314554E+00
    0.988297   157.292390   0.183477E+00   0.627063E+00   0.316564E+00
    0.994572   158.291055   0.184645E+00   0.629447E+00   0.318574E+00
    1.000847   159.289720   0.185813E+00   0.631827E+00   0.320584E+00
    1.007122   160.288385   0.186982E+00   0.634203E+00   0.322593E+00
    1.013396   161.287049   0.188150E+00   0.636576E+00   0.324603E+00
    1.019671   162.285714   0.189319E+00   0.638945E+00   0.326613E+00
    1.025946   163.284379   0.190487E+00   0.641310E+00   0.328623E+00
    1.032221   164.283044   0.191656E+00   0.643671E+00   0.330633E+00
    1.038496   165.281709   0.192824E+00   0.646029E+00   0.332643E+00
    1.044770   166.280374   0.193993E+00   0.648384E+00   0.334653E+00
    1.051045   167.279039   0.195162E+00   0.650735E+00   0.336663E+00
    1.057320   168.277704   0.196331E+00   0.653082E+00   0.338673E+00
    1.063595   169.276368   0.197499E+00   0.655426E+00   0.340683E+00
    1.069870   170.275033   0.198668E+00   0.657766E+00   0.342692E+00
    1.076144   171.273698   0.199838E+00   0.660104E+00   0.344702E+00
    1.082419   172.272363   0.201007E+00   0.662437E+00   0.346712E+00
    1.088694   173.271028   0.202176E+00   0.664768E+00   0.348722E+00
    1.094969   174.269693   0.203345E+00   0.667095E+00   0.350732E+00
    1.101244   175.268358   0.204514E+00   0.669419E+00   0.352742E+00
    1.107518   176.267023   0.205684E+00   0.671740E+00   0.354752E+00
    1.113793   177.265688   0.206853E+00   0.674058E+00   0.356762E+00
    1.120068   178.264352   0.208023E+00   0.676373E+00   0.358772E+00
    1.126343   179.263017   0.209192E+00   0.678685E+00   0.360781E+00
    1.132618   180.261682   0.210362E+00   0.680993E+00   0.362791E+00
    1.138892   181.260347   0.211532E+00   0.683299E+00   0.364801E+00
    1.145167   182.259012   0.212702E+00   0.685601E+00   0.366811E+00
    1.151442   183.257677   0.213872E+00   0.687901E+00   0.368821E+00
    1.157717   184.256342   0.215042E+00   0.690198E+00   0.370831E+00
    1.163992   185.255007   0.216212E+00   0.692492E+00   0.372841E+00
    1.170266   186.253672   0.217382E+00   0.694783E+00   0.374851E+00
    1.176541   187.252336   0.218552E+00   0.697071E+00   0.376861E+00
    1.182816   188.251001   0.219723E+00   0.699356E+00   0.378871E+00
    1.189091   189.249666   0.220893E+00   0.701639E+00   0.380880E+00
    1.195366   190.248331   0.222063E+00   0.703919E+00   0.382890E+00
    1.201640   191.246996   0.223234E+00   0.706196E+00   0.384900E+00
    1.207915   192.245661   0.224405E+00   0.708471E+00   0.386910E+00
    1.214190   193.244326   0.225575E+00   0.710743E+00   0.388920E+00
    1.220465   194.242991   0.226746E+00   0.713012E+00   0.390930E+00
    1.226740   195.241656   0.227917E+00   0.715279E+00   0.392940E+00
    1.233014   196.240320   0.229088E+00   0.717543E+00   0.394950E+00
    1.239289   197.238985   0.230259E+00   0.719805E+00   0.396960E+00
    1.245564   198.237650   0.231430E+00   0.722064E+00   0.398970E+00
    1.251839   199.236315   0.232601E+00   0.724320E+00   0.400979E+00
    1.258113   200.234980   0.233772E+00   0.726575E+00   0.402989E+00
    1.264388   201.233645   0.234944E+00   0.728827E+00   0.404999E+00
    1.270663   202.232310   0.236115E+00   0.731076E+00   0.407009E+00
    1.276938   203.230975   0.237287E+00   0.733323E+00   0.409019E+00
    1.283213   204.229640   0.238458E+00   0.735568E+00   0.411029E+00
    1.289487   205.228304   0.239630E+00   0.737810E+00   0.413039E+00
    1.295762   206.226969   0.240802E+00   0.740050E+00   0.415049E+00
    1.302037   207.225634   0.241973E+00   0.742288E+00   0.417059E+00
    1.308312   208.224299   0.243145E+00   0.744523E+00   0.419068E+00
    1.314587   209.222964   0.244317E+00   0.746756E+00   0.421078E+00
    1.320861   210.221629   0.245489E+00   0.748987E+00   0.423088E+00
    1.327136   211.220294   0.246662E+00   0.751216E+00   0.425098E+00
    1.333411   212.218959   0.247834E+00   0.753443E+00   0.427108E+00
    1.339686   213.217623   0.249006E+00   0.755667E+00   0.429118E+00
    1.345961   214.216288   0.250179E+00   0.757889E+00   0.431128E+00
    1.352235   215.214953   0.251351E+00   0.760110E+00   0.433138E+00
    1.358510   216.213618   0.252524E+00   0.762328E+00   0.435148E+00
    1.364785   217.212283   0.253697E+00   0.764544E+00   0.437157E+00
    1.371060   218.210948   0.254870E+00   0.766758E+00   0.439167E+00
    1.377335   219.209613   0.256042E+00   0.768970E+00   0.441177E+00
    1.383609   220.208278   0.257215E+00   0.771180E+00   0.443187E+00
    1.389884   221.206943   0.258389E+00   0.773388E+00   0.445197E+00
    1.396159   222.205607   0.259562E+00   0.775594E+00   0.447207E+00
    1.402434   223.204272   0.260735E+00   0.777798E+00   0.449217E+00
    1.408709   224.202937   0.261908E+00   0.780000E+00   0.451227E+00
    1.414983   225.201602   0.263082E+00   0.782200E+00   0.453237E+00
    1.421258   226.200267   0.264255E+00   0.784399E+00   0.455247E+00
    1.427533   227.198932   0.265429E+00   0.786595E+00   0.457256E+00
    1.433808   228.197597   0.266603E+00   0.788790E+00   0.459266E+00
    1.440083   229.196262   0.267777E+00   0.790982E+00   0.461276E+00
    1.446357   230.194927   0.268951E+00   0.793173E+00   0.463286E+00
    1.452632   231.193591   0.270125E+00   0.795362E+00   0.465296E+00
    1.458907   232.192256   0.271299E+00   0.797549E+00   0.467306E+00
